Query,Label
What is the speed of light?,Out-of-Scope
When should the pitch be rolled during a match?,In-Scope
What is the boiling point of water?,Out-of-Scope
What is the maximum thickness of a cricket bat's protective material?,In-Scope
How should the creases be marked?,In-Scope
How many continents are there?,Out-of-Scope
What is the currency of Japan?,Out-of-Scope
Who painted the Mona Lisa?,Out-of-Scope
How many planets are in the solar system?,Out-of-Scope
When should the pitch be rolled during a match?,In-Scope
What is the capital of France?,Out-of-Scope
What is the procedure if a fielder is absent?,In-Scope
What are the signals used by umpires?,In-Scope
What is the capital of Australia?,Out-of-Scope
What are the dimensions of a cricket pitch?,In-Scope
How many planets are in the solar system?,Out-of-Scope
What is the tallest mountain in the world?,Out-of-Scope
What is the procedure for re-marking creases?,In-Scope
What is the procedure if a fielder is absent?,In-Scope
What is the capital of Australia?,Out-of-Scope
Who invented the telephone?,Out-of-Scope
Who is the founder of Microsoft?,Out-of-Scope
How many planets are in the solar system?,Out-of-Scope
What are the dimensions of a cricket pitch?,In-Scope
What is the weight of a cricket ball?,In-Scope
What is the maximum thickness of a cricket bat's protective material?,In-Scope
What are the requirements for wicket-keeping gloves?,In-Scope
What is the atomic number of hydrogen?,Out-of-Scope
Who discovered penicillin?,Out-of-Scope
How many planets are in the solar system?,Out-of-Scope
What is the tallest mountain in the world?,Out-of-Scope
What is the chemical formula for water?,Out-of-Scope
Who wrote 'To Kill a Mockingbird'?,Out-of-Scope
Who invented the telephone?,Out-of-Scope
How many continents are there?,Out-of-Scope
What is the chemical formula for water?,Out-of-Scope
How many planets are in the solar system?,Out-of-Scope
What is the role of the captain in cricket?,In-Scope
What is the boiling point of water?,Out-of-Scope
How is a wide ball defined?,In-Scope
What is the speed of light?,Out-of-Scope
Who invented the telephone?,Out-of-Scope
What is the boiling point of water?,Out-of-Scope
What is the maximum thickness of a cricket bat's protective material?,In-Scope
What is the boiling point of water?,Out-of-Scope
What are the rules regarding intervals in cricket?,In-Scope
Who discovered penicillin?,Out-of-Scope
What happens if a ball is lost during play?,In-Scope
How is a no ball defined in cricket?,In-Scope
Who discovered penicillin?,Out-of-Scope
Who invented the telephone?,Out-of-Scope
What is the atomic number of hydrogen?,Out-of-Scope
How many players are there in a cricket team?,In-Scope
What is the tallest mountain in the world?,Out-of-Scope
What is the boiling point of water?,Out-of-Scope
What is considered unfair play in cricket?,In-Scope
Who painted the Mona Lisa?,Out-of-Scope
What is the capital of Australia?,Out-of-Scope
Who invented the telephone?,Out-of-Scope
What is the weight of a cricket ball?,In-Scope
What are the dimensions of a cricket pitch?,In-Scope
What is the capital of France?,Out-of-Scope
What is the weight of a cricket ball?,In-Scope
Who invented the telephone?,Out-of-Scope
What is the chemical formula for water?,Out-of-Scope
What is the largest mammal in the ocean?,Out-of-Scope
Who discovered penicillin?,Out-of-Scope
What happens if a ball is lost during play?,In-Scope
Who discovered penicillin?,Out-of-Scope
What are the duties of an umpire in cricket?,In-Scope
Who was the first president of the United States?,Out-of-Scope
What are the duties of an umpire in cricket?,In-Scope
What is the boiling point of water?,Out-of-Scope
What are the dimensions of a cricket bat?,In-Scope
